,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.47926205823199997,-5.044863770863158,20190717154016
1,2,4.0,google,Memory,-0.521046475074,-2.200365181900338,20190717153552
2,3,2.0,google,CPU,-0.479056168422,-6.756786578589562,20190717154029
3,4,2.0,google,General,-0.48778687550199995,-5.134598689494736,20190717153549
4,5,8.0,google,General,-0.526536379279,-1.3856220507342105,20190717153821
5,6,8.0,google,CPU,-0.512471707493,-1.807022946026093,20190717153556
6,7,2.0,google,General,-0.49219801166199995,-5.181031701705263,20190717154041
7,8,8.0,google,General,-0.506788378389,-1.3336536273394737,20190717153809
8,9,2.0,google,General,-0.492451088975,-5.183695673421052,20190717153753
