,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.612624795799,-6.381508289572916,20190725175720
1,2,4.0,aws,Memory,0.252,-0.657289183033,-2.608290408861111,20190725175723
2,3,8.0,aws,CPU,0.34,-0.7246830324050001,-2.1314206835441176,20190725180029
3,4,2.0,aws,CPU,0.085,-0.683776846821,-8.044433492011764,20190725180051
4,5,2.0,google,CPU,0.0709,-0.477606604681,-6.736341391833569,20190725180354
5,6,2.0,aws,CPU,0.085,-0.687416381761,-8.08725155012941,20190725180410
6,7,2.0,aws,CPU,0.085,-0.6870154270909999,-8.082534436364705,20190725180620
