,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.477596332666,-5.027329817536842,20190725233725
1,2,4.0,google,Memory,0.2368,-0.517211707702,-2.184171062930743,20190725233951
2,3,2.0,google,General,0.095,-0.480658733413,-5.0595656148736845,20190725234212
3,4,2.0,google,CPU,0.0709,-0.475316187696,-6.704036497827926,20190725234435
4,5,2.0,google,CPU,0.0709,-0.485366479007,-6.845789548758814,20190725234651
5,6,8.0,google,CPU,0.2836,-0.515629803765,-1.818158687464739,20190725234917
6,7,2.0,google,CPU,0.0709,-0.485297840581,-6.84482144684062,20190725235137
7,8,8.0,google,General,0.38,-0.516999384172,-1.3605246951894736,20190725235409
8,9,2.0,google,CPU,0.0709,-0.472516526524,-6.664549034188998,20190725235625
