,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.480331001246,-5.056115802589473,20190726041854
1,2,4.0,google,Memory,0.2368,-0.515537939632,-2.177102785608108,20190726042117
2,3,2.0,google,General,0.095,-0.484163043491,-5.096453089378947,20190726042326
3,4,2.0,google,General,0.095,-0.4963927600940001,-5.225186948357895,20190726042536
4,5,2.0,google,CPU,0.0709,-0.46918597457,-6.617573689280676,20190726042742
5,6,2.0,google,CPU,0.0709,-0.481580596252,-6.792392048688293,20190726043012
6,7,8.0,google,CPU,0.2836,-0.505535403204,-1.7825648914104373,20190726043239
7,8,2.0,google,CPU,0.0709,-0.47940775052599993,-6.761745423497883,20190726043441
8,9,8.0,google,General,0.38,-0.514027832507,-1.352704822386842,20190726043655
9,10,2.0,google,CPU,0.0709,-0.479798663061,-6.767258999449929,20190726043909
10,11,2.0,google,CPU,0.0709,-0.477234815847,-6.731097543681241,20190726044136
