,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.484767951104,-5.102820537936842,20190717161438
1,2,4.0,google,Memory,0.2368,-0.523660306384,-2.2114033208783783,20190717161441
2,3,8.0,google,CPU,0.2836,-0.518297779517,-1.8275662183251056,20190717161444
3,4,2.0,google,CPU,0.0709,-0.474064405354,-6.686380893568406,20190717161700
4,5,2.0,google,General,0.095,-0.484439722585,-5.099365500894737,20190717161712
5,6,2.0,google,General,0.095,-0.48618746642800004,-5.117762804505263,20190717161907
6,7,2.0,google,General,0.095,-0.481266050995,-5.065958431526316,20190717161645
