,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.48924907144300006,-5.14999022571579,20190725235926
1,2,4.0,google,Memory,0.2368,-0.514644132144,-2.173328260743243,20190726000147
2,3,2.0,google,General,0.095,-0.49281626224200004,-5.187539602547369,20190726000350
3,4,2.0,google,CPU,0.0709,-0.482635685958,-6.807273426770098,20190726000612
4,5,2.0,google,CPU,0.0709,-0.454792419352,-6.41456162696756,20190726000835
5,6,2.0,google,CPU,0.0709,-0.477042240707,-6.728381392200282,20190726001110
6,7,2.0,google,CPU,0.0709,-0.474219203421,-6.688564223145274,20190726001342
