,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.612263767357,-6.377747576635417,20190717180047
1,2,4.0,aws,Memory,0.252,-0.672034868284,-2.666805032873016,20190717180313
2,3,2.0,google,General,0.095,-0.489213460618,-5.149615374926316,20190717180546
3,4,8.0,aws,General,0.384,-0.678501394122,-1.7669307138593748,20190717180751
4,5,2.0,aws,CPU,0.085,-0.689560514674,-8.112476643223529,20190717181002
5,6,2.0,aws,CPU,0.085,-0.686348960825,-8.074693656764705,20190717181215
