,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.606991934155,-6.322832647447917,20190725164723
1,2,4.0,aws,Memory,0.252,-0.657249542252,-2.608133104174603,20190725164723
2,3,2.0,aws,General,0.096,-0.615741855689,-6.413977663427083,20190725164958
3,4,8.0,aws,General,0.384,-0.681765275801,-1.7754304057317707,20190725165008
4,5,2.0,google,General,0.095,-0.49107472181,-5.169207598,20190725165256
5,6,2.0,aws,CPU,0.085,-0.6847746403279998,-8.05617223915294,20190725165307
6,7,2.0,aws,Memory,0.126,-0.604592395637,-4.798352346325396,20190725165518
7,8,2.0,aws,CPU,0.085,-0.689115560244,-8.107241885223528,20190725165606
8,9,2.0,google,CPU,0.0709,-0.472188957227,-6.659928874851904,20190725165856
9,10,2.0,aws,CPU,0.085,-0.678088423902,-7.977510869435293,20190725165921
