,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.60594818514,-6.311960261875,20190725161145
1,2,4.0,aws,Memory,0.252,-0.649020869509,-2.57547964090873,20190725161510
2,3,8.0,aws,General,0.384,-0.660961187771,-1.7212530931536458,20190725161838
3,4,2.0,aws,CPU,0.085,-0.698796706409,-8.221137722458824,20190725162209
4,5,2.0,google,CPU,0.0709,-0.483931315542,-6.825547468857545,20190725162451
5,6,2.0,aws,CPU,0.085,-0.684932515525,-8.058029594411764,20190725162717
6,7,2.0,aws,CPU,0.085,-0.6853763150210002,-8.063250764952942,20190725163013
7,8,2.0,aws,CPU,0.085,-0.6842191254159999,-8.0496367696,20190725163304
8,9,2.0,aws,CPU,0.085,-0.681206721848,-8.01419672762353,20190725163647
9,10,2.0,aws,CPU,0.085,-0.6847276156079999,-8.05561900715294,20190725163947
