,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.492008892624,-5.179040974989474,20190717123316
1,2,2.0,google,General,-0.48881571079100006,-5.145428534642106,20190717123305
2,3,2.0,google,CPU,-0.476828839982,-6.7253715089139625,20190717123555
3,4,8.0,google,General,-0.514974853594,-1.3551969831421051,20190717123335
4,5,8.0,google,CPU,-0.528805377215,-1.8646169859485189,20190717123116
5,6,2.0,google,General,-0.498349959358,-5.245789045873685,20190717123542
6,7,2.0,google,General,-0.49550203316499997,-5.215810875421052,20190717123116
7,8,2.0,google,General,-0.491823225236,-5.1770865814315785,20190717123531
8,9,4.0,google,Memory,-0.497968004609,-2.1029054248690877,20190717123116
