,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.605689432912,-6.309264926166666,20190724145927
1,2,4.0,aws,Memory,0.252,-0.654450847449,-2.5970271724166665,20190724150209
2,3,2.0,google,General,0.095,-0.49128861017900005,-5.17145905451579,20190724150517
3,4,2.0,aws,CPU,0.085,-0.63879156979,-7.515194938705881,20190724150740
4,5,2.0,aws,CPU,0.085,-0.68981172556,-8.115432065411765,20190724151041
5,6,2.0,aws,CPU,0.085,-0.679879516805,-7.9985825506470585,20190724151330
6,7,2.0,aws,CPU,0.085,-0.687522423947,-8.088499105258823,20190724151700
7,8,2.0,aws,CPU,0.085,-0.674591283733,-7.936368043917647,20190724152001
8,9,2.0,google,CPU,0.0709,-0.474462920784,-6.69200170358251,20190724152305
9,10,2.0,aws,CPU,0.085,-0.688065257592,-8.094885383435294,20190724152520
