,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.604826342799,-6.300274404156251,20190724122810
1,2,4.0,aws,Memory,0.252,-0.656489877694,-2.6051185622777777,20190724123120
2,3,8.0,aws,General,0.384,-0.644796414637,-1.679157329783854,20190724123439
3,4,2.0,google,General,0.095,-0.49755129692199995,-5.2373820728631575,20190724123845
4,5,2.0,aws,CPU,0.085,-0.677323298632,-7.968509395670588,20190724124111
5,6,2.0,aws,CPU,0.085,-0.686797393917,-8.0799693402,20190724124403
6,7,2.0,aws,CPU,0.085,-0.682506578911,-8.029489163658823,20190724124636
7,8,2.0,aws,CPU,0.085,-0.680960165491,-8.0112960646,20190724124936
8,9,2.0,google,CPU,0.0709,-0.481219779876,-6.787302960169252,20190724125225
9,10,2.0,aws,CPU,0.085,-0.68329740542,-8.038793004941175,20190724125455
