,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.471906715989,-4.967439115673685,20190726003158
1,2,4.0,google,Memory,0.2368,-0.513182294385,-2.1671549593961146,20190726003423
2,3,2.0,google,General,0.095,-0.483343234618,-5.0878235222947366,20190726003636
3,4,8.0,google,General,0.38,-0.498084639422,-1.3107490511105262,20190726003900
4,5,2.0,google,CPU,0.0709,-0.4620853560570001,-6.517423921819464,20190726004118
5,6,2.0,google,CPU,0.0709,-0.48420574185,-6.829418079689703,20190726004338
6,7,2.0,google,CPU,0.0709,-0.471449977893,-6.6495060351622,20190726004605
7,8,2.0,google,CPU,0.0709,-0.470703831274,-6.638982105416079,20190726004833
