,Job_number,vCPUs,Provider,Category,Score,Value
0,1,8.0,aws,CPU,-0.743385236384,-2.186427165835294
1,2,2.0,google,General,-0.47962470756600006,-5.048681132273685
2,3,4.0,aws,Memory,-0.657593874362,-2.609499501436508
3,4,2.0,aws,CPU,-0.695747017601,-8.1852590306
4,5,2.0,google,General,-0.46650403766,-4.910568817473684
5,6,2.0,aws,General,-0.602207480117,-6.272994584552083
