,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.613186084801,-6.387355050010417,20190717211052
1,2,4.0,aws,Memory,0.252,-0.653466622113,-2.5931215163214287,20190717211440
2,3,2.0,google,General,0.095,-0.481273811323,-5.0660401191894735,20190717211754
3,4,8.0,aws,General,0.384,-0.654005481451,-1.7031392746119791,20190717212021
4,5,2.0,aws,CPU,0.085,-0.685056224969,-8.059484999635293,20190717212328
5,6,2.0,aws,CPU,0.085,-0.688295441093,-8.097593424623529,20190717212614
6,7,2.0,aws,CPU,0.085,-0.69323245168,-8.155675902117647,20190717212911
7,8,2.0,google,CPU,0.0709,-0.483988714147,-6.826357040155147,20190717213211
8,9,2.0,aws,CPU,0.085,-0.689922372762,-8.116733797199998,20190717213427
9,10,2.0,aws,CPU,0.085,-0.678068088643,-7.977271631094117,20190717213727
10,11,2.0,aws,CPU,0.085,-0.698261075484,-8.214836182164705,20190717214023
