,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.480366638917,-5.056490935968421,20190717194546
1,2,8.0,aws,General,-0.684849668369,-1.7834626780442706,20190717194219
2,3,2.0,aws,CPU,-0.685012537379,-8.058971027988235,20190717194803
3,4,2.0,aws,General,-0.609826215517,-6.352356411635417,20190717193522
4,5,4.0,aws,Memory,-0.65664678102,-2.605741194523809,20190717193850
5,6,2.0,aws,CPU,-0.691952881009,-8.140622129517647,20190717195037
