,Job_number,vCPUs,Provider,Category,Score,Value
0,1,2.0,google,General,-0.49350923479,-5.194834050421052
1,2,2.0,google,General,-0.491438046205,-5.173032065315789
2,3,2.0,google,General,-0.484262341933,-5.097498336136842
3,4,2.0,google,General,-0.49716948532400007,-5.233363003410527
4,5,4.0,google,Memory,-0.50683301798,-2.1403421367398647
5,6,8.0,google,General,-0.525573599351,-1.3830884193447368
6,7,4.0,google,Memory,-0.525323510784,-2.218426988108108
7,8,2.0,google,General,-0.48928766457100004,-5.150396469168421
8,9,2.0,google,CPU,-0.471158584137,-6.645396109125529
