,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.461033685722,-4.852986165494737,20190725223703
1,2,4.0,google,Memory,0.2368,-0.4977029850379999,-2.1017862543834456,20190725223925
2,3,2.0,google,General,0.095,-0.492181803586,-5.180861090378947,20190725224127
3,4,2.0,google,General,0.095,-0.482118733555,-5.074934037421053,20190725224350
4,5,8.0,google,General,0.38,-0.52569879212,-1.383417874,20190725224614
5,6,2.0,google,CPU,0.0709,-0.484602566443,-6.835015041509167,20190725224823
6,7,2.0,google,CPU,0.0709,-0.471492275809,-6.650102620719323,20190725225051
7,8,2.0,google,CPU,0.0709,-0.477757266084,-6.738466376361071,20190725225326
