,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.494814549442,-5.208574204652631,20190726013431
1,2,4.0,google,Memory,0.2368,-0.508078247498,-2.145600707339527,20190726013659
2,3,2.0,google,General,0.095,-0.45636836299000005,-4.803877505157895,20190726013926
3,4,8.0,google,General,0.38,-0.518501569369,-1.3644778141289475,20190726014155
4,5,2.0,google,CPU,0.0709,-0.474334068593,-6.690184324301833,20190726014411
5,6,2.0,google,CPU,0.0709,-0.47321454879,-6.674394200141044,20190726014637
6,7,8.0,google,CPU,0.2836,-0.527024383704,-1.8583370370380816,20190726014909
7,8,2.0,google,CPU,0.0709,-0.486264339605,-6.858453308956276,20190726015118
8,9,2.0,google,CPU,0.0709,-0.46934660926500005,-6.619839340832158,20190726015335
9,10,2.0,google,CPU,0.0709,-0.484893006111,-6.839111510733427,20190726015554
