,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.476886704645,-5.019860048894737,20190725220734
1,2,4.0,google,Memory,0.2368,-0.501754377797,-2.1188951765076016,20190725220957
2,3,2.0,google,CPU,0.0709,-0.484305194409,-6.83082079561354,20190725221216
3,4,2.0,google,CPU,0.0709,-0.48245071275,-6.804664495768688,20190725221442
4,5,8.0,google,CPU,0.2836,-0.521749352184,-1.839736784851904,20190725221700
5,6,2.0,google,CPU,0.0709,-0.487607723947,-6.877400901932299,20190725221917
6,7,2.0,google,CPU,0.0709,-0.485476533854,-6.847341803300423,20190725222148
7,8,2.0,google,General,0.095,-0.483524788119,-5.0897346117789475,20190725222419
8,9,2.0,google,CPU,0.0709,-0.486483599894,-6.861545837715091,20190725222645
9,10,2.0,google,CPU,0.0709,-0.4869729360630001,-6.868447617249648,20190725222914
10,11,2.0,google,CPU,0.0709,-0.48671782787,-6.864849476304654,20190725223144
11,12,2.0,google,CPU,0.0709,-0.480103095839,-6.771552832708039,20190725223412
