,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.607864302688,-6.331919819666666,20190716224130
1,2,4.0,aws,Memory,0.252,-0.655237749804,-2.6001498008095236,20190716224133
2,3,8.0,aws,CPU,0.34,-0.73090681031,-2.1497259126764705,20190716224136
3,4,8.0,aws,General,0.384,-0.663428412948,-1.72767815871875,20190716224431
4,5,2.0,google,General,0.095,-0.494273938101,-5.202883558957895,20190716224452
5,6,2.0,google,CPU,0.0709,-0.477304485816,-6.732080194866008,20190716223944
6,7,2.0,google,General,0.095,-0.485927554196,-5.115026886273684,20190716224407
