,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.479410340957,-5.0464246416526315,20190717221310
1,2,2.0,aws,General,-0.611057328139,-6.365180501447917,20190717214418
2,3,2.0,google,CPU,-0.481644388314,-6.793291795684062,20190717220114
3,4,8.0,google,CPU,-0.527029893154,-1.8583564638716499,20190717221054
4,5,4.0,aws,Memory,-0.654980757423,-2.5991299897738096,20190717214740
5,6,2.0,aws,CPU,-0.6851346997809998,-8.060408232717645,20190717215801
6,7,2.0,aws,CPU,-0.690154167846,-8.119460798188236,20190717220338
7,8,8.0,aws,General,-0.656620200607,-1.7099484390807291,20190717215116
8,9,2.0,aws,CPU,-0.672222015957,-7.908494305376471,20190717220731
9,10,2.0,aws,CPU,-0.682838027125,-8.033388554411763,20190717215457
