,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.481185609859,-5.065111682726315,20190717130455
1,2,4.0,google,Memory,0.2368,-0.508185250049,-2.146052576220439,20190717130458
2,3,8.0,google,CPU,0.2836,-0.52663026224,-1.8569473280677007,20190717130504
3,4,2.0,google,General,0.095,-0.48501752929200004,-5.105447676757895,20190717130724
4,5,8.0,google,General,0.38,-0.524003821743,-1.3789574256394737,20190717130735
5,6,2.0,google,General,0.095,-0.470001320714,-4.947382323305264,20190717130935
6,7,2.0,google,General,0.095,-0.493105579801,-5.190585050536842,20190717130707
