,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.481382144815,-5.067180471736842,20190726034958
1,2,4.0,google,Memory,0.2368,-0.504471192673,-2.13036821230152,20190726035223
2,3,8.0,google,General,0.38,-0.517982957201,-1.3631130452657894,20190726035440
3,4,2.0,google,CPU,0.0709,-0.473280406225,-6.675323077926657,20190726035651
4,5,2.0,google,CPU,0.0709,-0.47287134891000004,-6.669553581241185,20190726035916
5,6,2.0,google,CPU,0.0709,-0.472882621415,-6.6697125728490825,20190726040135
6,7,8.0,google,CPU,0.2836,-0.513204773906,-1.8096078064386456,20190726040402
7,8,2.0,google,CPU,0.0709,-0.481101072323,-6.785628664640337,20190726040617
8,9,2.0,google,Memory,0.1184,-0.470585190554,-3.9745370823817567,20190726040835
9,10,2.0,google,CPU,0.0709,-0.478557596055,-6.749754528279266,20190726041057
10,11,2.0,google,CPU,0.0709,-0.475527628203,-6.707018733469675,20190726041324
11,12,2.0,google,CPU,0.0709,-0.478600876903,-6.750364977475317,20190726041558
