,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.486242530146,-5.118342422589474,20190725225628
1,2,4.0,google,Memory,0.2368,-0.49420579470500003,-2.0870177141258446,20190725225849
2,3,2.0,google,General,0.095,-0.48273929652099995,-5.081466279168421,20190725230102
3,4,8.0,google,General,0.38,-0.500995364476,-1.3184088538842105,20190725230327
4,5,2.0,google,CPU,0.0709,-0.472535167578,-6.664811954555712,20190725230542
5,6,2.0,google,CPU,0.0709,-0.478020740429,-6.742182516629055,20190725230812
6,7,2.0,google,CPU,0.0709,-0.462949207787,-6.529608008279266,20190725231038
7,8,8.0,google,CPU,0.2836,-0.524483691708,-1.8493783205500705,20190725231310
8,9,2.0,google,CPU,0.0709,-0.47250159256,-6.6643384,20190725231516
9,10,2.0,google,CPU,0.0709,-0.469446792853,-6.621252367461213,20190725231734
