Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
High Storage Eight Extra Large,hs1.8xlarge,117,35,17,0,0,2.059,Intel Xeon E5-2650,2 GHz,unknown,unknown,unknown,48000 GiB               (24 * 2000 GiB HDD),No,N/A,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,No,No,No,No,"HVM, PV",Yes,NA,NA,4.73,NA,4.7,NA,NA,NA,5.144,NA,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,48000,FALSE,hs1,Storage,HDD
T2 Double Extra Large,t2.2xlarge,32,NA,8,0,0,NA,Intel Xeon Family,Up to 3.0 GHz,Yes,unknown,Yes,EBS only,N/A,N/A,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,45,3,No,Yes,Yes,No,HVM,No,0.4224,0.2907,0.5012,0.36,0.4712,0.263,0.4844,0.3527,0.5742,0.433,NA,NA,3.4332,3.292,0.5064,0.3652,NA,NA,3.3712,3.23,NA,NA,NA,TRUE,T2,General,EBS
G3 16xlarge,g3.16xlarge,488,188,64,4,0,2.938,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,750,15,Yes,Yes,Yes,No,HVM,Yes,5.716,4.0404,4.69,3.2422,4.66,3.1452,8.66,6.9844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,FALSE,G3,Accelerated,EBS
M5 General Purpose Double Extra Large,m5.2xlarge,32,31,8,0,0,3.875,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.444,0.311,0.514,0.375,0.484,0.278,0.812,0.679,0.887,0.749,1.712,1.573,3.752,3.613,0.519,0.381,1.344,1.205,3.384,3.245,NA,0.096,NA,FALSE,M5,General,EBS
I3EN Metal,i3en.metal,768,0,96,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,100 Gigabit,N/A,0 MB/s,0 IOPS,Yes,N/A,N/A,Yes,Yes,Yes,No,Unknown,No,NA,NA,10.978,NA,10.998,NA,NA,NA,16.886,NA,26.784,NA,51.264,NA,12.47,NA,22.368,NA,46.848,NA,NA,NA,NA,FALSE,I3EN,Storage,EBS
M5 General Purpose Large,m5.large,8,8,2,0,0,4,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,HVM,No,0.111,0.078,0.156,0.121,0.196,0.094,0.203,0.17,0.256,0.221,0.668,0.633,NA,NA,0.164,0.129,0.576,0.541,NA,NA,NA,NA,NA,FALSE,M5,General,EBS
C5N Extra Large,c5n.xlarge,10.5,0,4,0,0,0,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.276,0.196,0.341,0.186,NA,NA,0.468,0.388,0.88,0.8,1.9,1.82,0.284,0.204,0.696,0.616,1.716,1.636,NA,0.054,NA,FALSE,C5N,Compute,EBS
T2 Micro,t2.micro,1,NA,1,0,0,NA,Intel Xeon Family,Up to 3.3 GHz,Yes,unknown,Yes,EBS only,N/A,N/A,32/64-bit,Low to Moderate,N/A,0 MB/s,0 IOPS,No,4,2,No,Yes,Yes,No,HVM,No,0.0132,0.0091,0.0716,0.0672,0.0216,0.0162,0.0178,0.0137,0.068,0.047,NA,NA,NA,NA,0.0792,0.0748,NA,NA,NA,NA,NA,NA,NA,TRUE,T2,General,EBS
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64,60,16,0,0,3.75,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,EBS only,N/A,N/A,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,0.888,0.622,0.898,0.621,0.868,0.524,1.624,1.358,1.774,1.497,3.424,3.147,7.504,7.227,1.038,0.761,2.688,2.411,6.768,6.491,NA,0.192,NA,FALSE,M5,General,EBS
R5A Double Extra Large,r5a.2xlarge,64,0,8,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,EBS only,N/A,N/A,64-bit,10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,Yes,NA,NA,0.582,0.415,0.602,0.345,NA,NA,0.955,0.788,1.78,1.613,3.82,3.653,0.587,0.42,1.412,1.245,3.452,3.285,NA,0.113,NA,FALSE,R5A,Memory,EBS
