Name,API Name,Memory,Compute Units (ECU),vCPUs,GPUs,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Throughput,EBS Optimized: Max 16K IOPS,EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand cost,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EBS Optimized surcharge,EMR cost,Storage,Burstable,Model Type,Category,StorageType
C3 High-CPU Large,c3.large,3.75,7,2,0,0,3.5,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,unknown,Yes,32 GiB               (2 * 16 GiB SSD),No,No,32/64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,30,3,Yes,No,Yes,No,"HVM, PV",No,NA,NA,0.165,0.133,0.205,0.109,NA,NA,0.271,0.192,0.561,0.406,NA,NA,0.173,0.134,0.585,0.546,NA,NA,NA,NA,32,FALSE,C3,Compute,SSD
C3 High-CPU Eight Extra Large,c3.8xlarge,60,108,32,0,0,3.375,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,unknown,Yes,640 GiB               (2 * 320 GiB SSD),No,No,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,"HVM, PV",Yes,NA,NA,1.81,1.298,1.78,1.204,NA,NA,4.332,3.081,8.523,6.17,15.152,14.657,2.288,1.67,NA,5.382,15.18,14.562,NA,0.27,640,FALSE,C3,Compute,SSD
M3 General Purpose Double Extra Large,m3.2xlarge,30,26,8,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,Yes,unknown,Yes,160 GiB               (2 * 80 GiB SSD),No,No,64-bit,High,N/A,0 MB/s,0 IOPS,No,120,4,No,No,No,No,"HVM, PV",Yes,NA,NA,0.662,0.51,0.632,0.413,NA,NA,1.468,0.957,2.532,1.661,3.9,3.756,0.671,0.48,1.496,1.305,3.536,3.345,NA,0.14,160,FALSE,M3,General,SSD
X1E Quadruple Extra Large,x1e.4xlarge,488,47,16,0,0,2.938,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,unknown,480 GiB               SSD,Yes,No,64-bit,Up to 10 Gigabit,1750.0 Mbps,218.75 MB/s,10000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,No,NA,NA,3.466,2.186,3.436,2.089,NA,NA,4.342,3.062,5.992,4.712,10.072,8.792,3.606,2.326,5.256,3.976,9.336,8.056,NA,NA,480,FALSE,X1E,Memory,SSD
X1E Eight Extra Large,x1e.8xlarge,976,91,32,0,0,2.844,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,Yes,960 GiB               SSD,Yes,No,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,No,NA,NA,6.802,4.242,6.772,4.145,NA,NA,8.685,6.124,11.984,9.424,20.144,17.584,7.213,4.652,10.512,7.952,18.672,16.112,NA,NA,960,FALSE,X1E,Memory,SSD
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952,349,128,0,0,2.727,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,unknown,unknown,unknown,3840 GiB               (2 * 1920 GiB SSD),Yes,No,64-bit,High,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,No,16.806,10.357,13.468,8.349,13.438,8.252,22.694,16.245,21.88,16.271,34.586,29.467,67.226,62.107,15.501,10.383,28.698,23.579,61.338,56.219,NA,NA,3840,FALSE,X1,Memory,SSD
G2 Double Extra Large,g2.2xlarge,15,26,8,1,0,3.25,Intel Xeon E5-2670 (Sandy Bridge),2.6 GHz,Yes,unknown,Yes,60 GiB               SSD,No,No,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,No,No,No,No,Unknown,Yes,NA,NA,0.78,0.604,0.75,0.51,NA,NA,0.957,0.775,3.816,3.754,NA,NA,0.785,0.561,1.61,1.385,NA,NA,NA,0.2,60,FALSE,G2,Accelerated,SSD
C3 High-CPU Double Extra Large,c3.2xlarge,15,28,8,0,0,3.5,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,unknown,Yes,160 GiB               (2 * 80 GiB SSD),No,No,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,"HVM, PV",Yes,NA,NA,0.55,0.422,0.52,0.328,NA,NA,1.083,0.771,2.131,1.542,3.788,3.664,0.555,0.401,1.38,1.225,3.42,3.265,NA,0.105,160,FALSE,C3,Compute,SSD
C3 High-CPU Extra Large,c3.xlarge,7.5,14,4,0,0,3.5,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,Yes,unknown,Yes,80 GiB               (2 * 40 GiB SSD),No,No,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,"HVM, PV",Yes,NA,NA,0.27,0.206,0.31,0.182,NA,NA,0.542,0.386,1.066,0.771,1.894,1.833,0.278,0.2,0.69,0.613,1.71,1.633,NA,0.053,80,FALSE,C3,Compute,SSD
R5AD 24xlarge,r5ad.24xlarge,768,0,96,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,10000.0 Mbps,1250.0 MB/s,60000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,No,NA,NA,6.418,4.111,6.438,4.041,NA,NA,12.326,10.02,22.224,19.917,46.704,44.397,7.91,5.604,17.808,15.501,42.288,39.981,NA,NA,3600,FALSE,R5AD,Memory,SSD
R5D Extra Large,r5d.xlarge,32,19,4,0,0,4.75,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,150 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,60,4,No,Yes,Yes,No,HVM,Yes,0.338,0.215,0.348,0.242,0.413,0.232,0.522,0.399,0.54,0.433,0.952,0.846,1.972,1.866,0.356,0.249,0.768,0.662,1.788,1.682,NA,0.072,150,FALSE,R5D,Memory,SSD
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64,60,16,0,0,3.75,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,1.048,0.733,1.034,0.706,1.004,0.609,1.784,1.469,1.91,1.582,3.56,3.232,7.64,7.312,1.174,0.846,2.824,2.496,6.904,6.576,NA,0.226,600,FALSE,M5,General,SSD
M5AD Extra Large,m5ad.xlarge,16,0,4,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,150 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.266,0.192,0.331,0.182,NA,NA,0.458,0.383,0.87,0.796,1.89,1.816,0.274,0.199,0.686,0.612,1.706,1.632,NA,NA,150,FALSE,M5AD,General,SSD
Z1D Extra Large,z1d.xlarge,32,28,4,0,0,7,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,150 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2333.0 Mbps,291.0 MB/s,13333.0 IOPS,Yes,60,4,No,Yes,Yes,No,HVM,Yes,0.439,0.281,0.432,0.295,0.497,0.285,0.623,0.465,0.624,0.487,1.036,0.899,2.056,1.919,0.44,0.303,0.852,0.715,1.872,1.735,NA,0.093,150,FALSE,Z1D,Memory,SSD
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122,52,16,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,320 GiB               SSD,Yes,Yes,64-bit,High,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,NA,NA,1.46,0.966,1.43,0.869,NA,NA,2.295,1.617,4.585,4.041,8.066,7.579,1.598,1.024,3.248,2.673,7.328,6.753,NA,0.27,320,FALSE,R3,Memory,SSD
I3EN 6xlarge,i3en.6xlarge,192,0,24,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,15000 GiB               (2 * 7500 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,2.842,1.977,2.862,1.907,NA,NA,4.222,3.357,6.696,5.831,12.816,11.951,3.118,2.253,5.592,4.727,11.712,10.847,NA,NA,15000,FALSE,I3EN,Storage,SSD
R5AD Large,r5ad.large,16,0,2,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,75 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,2210.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.191,0.143,0.194,0.108,NA,NA,0.291,0.243,0.703,0.655,NA,NA,0.199,0.151,0.611,0.563,NA,NA,NA,NA,75,FALSE,R5AD,Memory,SSD
I2 Extra Large,i2.xlarge,30.5,14,4,0,0,3.5,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,800 GiB               SSD,Yes,Yes,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,NA,NA,0.913,0.484,0.953,0.46,NA,NA,0.993,0.578,1.23,0.768,2.537,2.108,0.921,0.449,1.333,0.861,2.353,1.881,NA,0.213,800,FALSE,I2,Storage,SSD
R3 High-Memory Extra Large,r3.xlarge,30.5,13,4,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,80 GiB               SSD,Yes,Yes,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,NA,NA,0.393,0.269,0.433,0.242,NA,NA,0.738,0.519,1.378,1.213,2.017,1.895,0.4,0.256,0.812,0.668,1.832,1.688,NA,0.09,80,FALSE,R3,Memory,SSD
F1 Quadruple Extra Large,f1.4xlarge,244,52,16,0,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),unknown,unknown,unknown,unknown,940 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,400.0 MB/s,44000.0 IOPS,No,240,8,No,Yes,Yes,No,HVM,No,NA,NA,3.43,2.361,3.4,2.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,FALSE,F1,Accelerated,SSD
Z1D 6xlarge,z1d.6xlarge,192,134,24,0,0,5.583,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,900 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,No,Yes,Yes,No,HVM,Yes,2.636,1.683,2.362,1.541,2.382,1.471,3.74,2.787,3.742,2.92,6.216,5.395,12.336,11.515,2.638,1.816,5.112,4.291,11.232,10.411,NA,0.27,900,FALSE,Z1D,Memory,SSD
I3 High I/O Quadruple Extra Large,i3.4xlarge,122,53,16,0,0,3.312,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,3800 GiB               (2 * 1900 GiB NVMe SSD),Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,16000.0 IOPS,No,240,8,Yes,Yes,Yes,No,HVM,Yes,1.448,0.991,1.378,0.987,1.348,0.89,2.184,1.727,2.266,1.875,3.904,3.513,7.984,7.593,1.518,1.127,3.168,2.777,7.248,6.857,NA,0.27,3800,FALSE,I3,Storage,SSD
I3EN Large,i3en.large,16,0,2,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,1250 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.286,0.214,0.289,0.179,NA,NA,0.386,0.314,0.798,0.726,NA,NA,0.294,0.222,0.706,0.634,NA,NA,NA,NA,1250,FALSE,I3EN,Storage,SSD
P3DN 24xlarge,p3dn.24xlarge,768,345,96,8,0,3.594,Intel Xeon Platinum 8175 (Skylake),2.5 GHz,Yes,Yes,Yes,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,100 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,No,NA,NA,31.342,19.345,31.362,19.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,FALSE,P3DN,Accelerated,SSD
R5D Metal,r5d.metal,768,347,96,0,0,3.615,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,No,Yes,Yes,No,HVM,No,8.112,5.169,7.042,4.492,7.062,4.422,12.528,9.585,12.95,10.401,22.848,20.298,47.328,44.778,8.534,5.985,18.432,15.882,42.912,40.362,NA,NA,3600,FALSE,R5D,Memory,SSD
I3EN 24xlarge,i3en.24xlarge,768,0,96,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,60000 GiB               (8 * 7500 GiB NVMe SSD),Yes,Yes,64-bit,100 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,Unknown,No,NA,NA,10.978,7.518,10.998,7.448,NA,NA,16.886,13.426,26.784,23.324,51.264,47.804,12.47,9.01,22.368,18.908,46.848,43.388,NA,NA,60000,FALSE,I3EN,Storage,SSD
R5AD Extra Large,r5ad.xlarge,32,0,4,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,150 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,2210.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.322,0.226,0.387,0.216,NA,NA,0.514,0.417,0.926,0.83,1.946,1.85,0.33,0.233,0.742,0.646,1.762,1.666,NA,NA,150,FALSE,R5AD,Memory,SSD
Z1D Double Extra Large,z1d.2xlarge,64,53,8,0,0,6.625,Intel Xeon Platinum 8151,unknown,unknown,unknown,unknown,300 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2333.0 Mbps,292.0 MB/s,13333.0 IOPS,Yes,60,4,No,Yes,Yes,No,HVM,Yes,0.879,0.561,0.874,0.6,0.894,0.53,1.247,0.929,1.247,0.973,2.072,1.798,4.112,3.838,0.879,0.605,1.704,1.43,3.744,3.47,NA,0.186,300,FALSE,Z1D,Memory,SSD
I3 High I/O Metal,i3.metal,512,208,72,0,0,2.889,Intel Xeon E5-2686 v4 (Broadwell),unknown,unknown,unknown,unknown,15200 GiB               (8 * 1900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,65000.0 IOPS,No,750,15,No,Yes,Yes,No,HVM,No,NA,NA,5.122,3.557,5.092,3.46,NA,NA,9.063,7.498,15.616,14.051,31.936,30.371,6.074,4.509,12.672,11.107,28.992,27.427,NA,NA,15200,FALSE,I3,Storage,SSD
I3EN 3xlarge,i3en.3xlarge,96,0,12,0,0,0,Intel Xeon Platinum 8175,3.1 GHz,unknown,unknown,unknown,7500 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 25 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,1.486,1.054,1.506,0.984,NA,NA,2.111,1.678,3.348,2.916,6.408,5.976,1.559,1.126,2.796,2.364,5.856,5.424,NA,NA,7500,FALSE,I3EN,Storage,SSD
C5 High-CPU Large,c5d.large,4,9,2,0,0,4.5,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,50 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,HVM,No,0.115,0.079,0.156,0.121,0.196,0.094,0.207,0.171,0.256,0.22,0.668,0.633,NA,NA,0.164,0.128,0.576,0.541,NA,NA,NA,NA,50,FALSE,C5,Compute,SSD
R3 High-Memory Large,r3.large,15.25,6.5,2,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,32 GiB               SSD,Yes,Yes,64-bit,Moderate,N/A,0 MB/s,0 IOPS,No,30,3,Yes,No,Yes,No,HVM,No,NA,NA,0.226,0.165,0.266,0.138,NA,NA,0.386,0.272,0.946,0.833,NA,NA,0.234,0.162,0.646,0.574,NA,NA,NA,NA,32,FALSE,R3,Memory,SSD
R5AD Double Extra Large,r5ad.2xlarge,64,0,8,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,300 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,2210.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.654,0.462,0.674,0.392,NA,NA,1.027,0.835,1.852,1.66,3.892,3.7,0.659,0.467,1.484,1.292,3.524,3.332,NA,NA,300,FALSE,R5AD,Memory,SSD
R5D 24xlarge,r5d.24xlarge,768,347,96,0,0,3.615,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,No,Yes,Yes,No,HVM,Yes,8.112,5.169,7.042,4.492,7.062,4.422,12.528,9.585,12.95,10.401,22.848,20.298,47.328,44.778,8.534,5.985,18.432,15.882,42.912,40.362,NA,0.27,3600,FALSE,R5D,Memory,SSD
I3 High I/O Large,i3.large,15.25,7,2,0,0,3.5,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,475 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,425.0 Mbps,53.13 MB/s,3000.0 IOPS,No,30,3,Yes,Yes,Yes,No,HVM,No,0.181,0.124,0.216,0.167,0.256,0.14,0.273,0.216,0.319,0.27,0.728,0.679,NA,NA,0.224,0.175,0.636,0.587,NA,NA,NA,NA,475,FALSE,I3,Storage,SSD
M5AD 12xlarge,m5ad.12xlarge,192,0,48,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,5000.0 Mbps,675.0 MB/s,30000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,2.602,1.711,2.622,1.641,NA,NA,5.491,4.6,10.44,9.549,22.68,21.789,3.283,2.392,8.232,7.341,20.472,19.581,NA,NA,1800,FALSE,M5AD,General,SSD
I3 High I/O Extra Large,i3.xlarge,30.5,13,4,0,0,3.25,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,950 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,850.0 Mbps,106.25 MB/s,6000.0 IOPS,No,60,4,Yes,Yes,Yes,No,HVM,Yes,0.362,0.248,0.372,0.274,0.412,0.247,0.546,0.432,0.567,0.469,0.976,0.878,1.996,1.898,0.38,0.282,0.792,0.694,1.812,1.714,NA,0.078,950,FALSE,I3,Storage,SSD
C5 High-CPU Double Extra Large,c5d.2xlarge,16,34,8,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,200 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,60,4,Yes,Yes,Yes,No,HVM,Yes,0.46,0.317,0.514,0.372,0.484,0.275,0.828,0.685,0.887,0.745,1.712,1.57,3.752,3.61,0.519,0.377,1.344,1.202,3.384,3.242,NA,0.096,200,FALSE,C5,Compute,SSD
R5AD 12xlarge,r5ad.12xlarge,384,0,48,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,1800 GiB               (2 * 900 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,5000.0 Mbps,625.0 MB/s,30000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,3.274,2.121,3.294,2.051,NA,NA,6.163,5.01,11.112,9.959,23.352,22.199,3.955,2.802,8.904,7.751,21.144,19.991,NA,NA,1800,FALSE,R5AD,Memory,SSD
I2 Eight Extra Large,i2.8xlarge,244,104,32,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,6400 GiB               (8 * 800 GiB SSD),Yes,Yes,64-bit,10 Gigabit,N/A,0 MB/s,0 IOPS,No,240,8,Yes,No,Yes,No,HVM,Yes,NA,NA,6.95,3.522,6.92,3.428,NA,NA,7.942,4.623,9.836,6.142,20.292,16.87,7.365,3.588,10.664,6.888,18.824,15.048,NA,0.27,6400,FALSE,I2,Storage,SSD
C5 High-CPU 9xlarge,c5d.9xlarge,72,141,36,0,0,3.917,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,900 GiB               NVMe SSD,Yes,Yes,64-bit,10 Gigabit,7000.0 Mbps,875.0 MB/s,40000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,2.07,1.426,1.858,1.22,1.828,1.123,3.726,3.082,3.992,3.354,7.704,7.066,16.884,16.246,2.336,1.698,6.048,5.41,15.228,14.59,NA,0.27,900,FALSE,C5,Compute,SSD
M5 General Purpose 24xlarge,m5d.24xlarge,384,345,96,0,0,3.594,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,3600 GiB               (4 * 900 GiB NVMe SSD),Yes,Yes,64-bit,25 Gigabit,14000.0 Mbps,1750.0 MB/s,80000.0 IOPS,Yes,750,15,Yes,Yes,Yes,No,HVM,Yes,6.288,4.396,5.554,3.584,5.524,3.487,10.704,8.812,11.462,9.492,21.36,19.39,45.84,43.87,7.046,5.076,16.944,14.974,41.424,39.454,NA,0.27,3600,FALSE,M5,General,SSD
M5AD Large,m5ad.large,8,0,2,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,75 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.163,0.126,0.166,0.091,NA,NA,0.263,0.225,0.675,0.638,NA,NA,0.171,0.133,0.583,0.546,NA,NA,NA,NA,75,FALSE,M5AD,General,SSD
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32,68,16,0,0,4.25,Intel Xeon Platinum 8124M,3.0 Ghz,Yes,Yes,Yes,400 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,20000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,HVM,Yes,0.92,0.634,0.898,0.614,0.868,0.517,1.656,1.37,1.774,1.491,3.424,3.14,7.504,7.22,1.038,0.755,2.688,2.404,6.768,6.484,NA,0.192,400,FALSE,C5,Compute,SSD
I3 High I/O 16xlarge,i3.16xlarge,488,200,64,0,0,3.125,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,Yes,15200 GiB               (8 * 1900 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,65000.0 IOPS,No,750,15,Yes,Yes,Yes,No,HVM,Yes,5.792,3.965,5.122,3.557,5.092,3.46,8.736,6.909,9.063,7.498,15.616,14.051,31.936,30.371,6.074,4.509,12.672,11.107,28.992,27.427,NA,0.27,15200,FALSE,I3,Storage,SSD
R3 High-Memory Double Extra Large,r3.2xlarge,61,26,8,0,0,3.25,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,unknown,Yes,160 GiB               SSD,Yes,Yes,64-bit,High,N/A,0 MB/s,0 IOPS,No,60,4,Yes,No,Yes,No,HVM,Yes,NA,NA,0.795,0.548,0.765,0.451,NA,NA,1.52,1.069,2.74,2.412,4.033,3.789,0.799,0.512,1.624,1.337,3.664,3.377,NA,0.18,160,FALSE,R3,Memory,SSD
F1 16xlarge,f1.16xlarge,976,188,64,0,0,2.938,Intel Xeon E5-2686 v4 (Broadwell),unknown,unknown,unknown,unknown,3760 GiB               (4 * 940 GiB NVMe SSD),Yes,Yes,64-bit,20 Gigabit,14000.0 Mbps,1750.0 MB/s,75000.0 IOPS,No,400,8,No,Yes,Yes,No,HVM,No,NA,NA,13.33,9.055,13.3,8.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3760,FALSE,F1,Accelerated,SSD
R5D Quadruple Extra Large,r5d.4xlarge,128,71,16,0,0,4.438,Intel Xeon Platinum 8175,unknown,unknown,unknown,unknown,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,240,8,No,Yes,Yes,No,HVM,Yes,1.352,0.861,1.282,0.857,1.302,0.787,2.088,1.597,2.158,1.733,3.808,3.383,7.888,7.463,1.422,0.997,3.072,2.647,7.152,6.727,NA,0.27,600,FALSE,R5D,Memory,SSD
M5 General Purpose Large,m5d.large,8,8,2,0,0,4,Intel Xeon Platinum 8175,2.5 GHz,Yes,Yes,Yes,75 GiB               NVMe SSD,Yes,Yes,64-bit,Up to 10 Gigabit,3500.0 Mbps,437.5 MB/s,18750.0 IOPS,Yes,30,3,Yes,Yes,Yes,No,HVM,No,0.131,0.092,0.173,0.132,0.213,0.105,0.223,0.184,0.273,0.232,0.685,0.644,NA,NA,0.181,0.14,0.593,0.552,NA,NA,NA,NA,75,FALSE,M5,General,SSD
M5AD Quadruple Extra Large,m5ad.4xlarge,64,0,16,0,0,0,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,600 GiB               (2 * 300 GiB NVMe SSD),Yes,Yes,64-bit,Up to 10 Gigabit,2120.0 Mbps,265.0 MB/s,16000.0 IOPS,Yes,240,8,Yes,Yes,Yes,No,Unknown,No,NA,NA,0.954,0.657,0.974,0.587,NA,NA,1.83,1.533,3.48,3.183,7.56,7.263,1.094,0.797,2.744,2.447,6.824,6.527,NA,NA,600,FALSE,M5AD,General,SSD
