,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,8.0,aws,CPU,-0.0019874273121589475,-0.005845374447526316,20190719162542
1,2,2.0,aws,CPU,-0.0019932329988851774,-0.02344979998688444,20190719162908
2,3,4.0,aws,Memory,-0.0019974708374523387,-0.00792647157719182,20190719161745
3,4,8.0,google,General,-0.0005793859861401379,-0.0015246999635266788,20190719162316
4,5,2.0,aws,General,-0.001943391334828939,-0.020243659737801446,20190719161420
5,6,2.0,google,CPU,-0.0006647888260724941,-0.009376429140655769,20190719162103
