,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.0005976725815072118,-0.00629129033165486,20190719133456
1,2,8.0,aws,General,-0.0020101800293685764,-0.005234843826480668,20190719133101
2,3,2.0,aws,General,-0.002634739728217423,-0.027445205502264824,20190719131706
3,4,8.0,aws,CPU,-0.0025957811326658294,-0.007634650390193615,20190719133716
4,5,8.0,google,CPU,-0.0005780659137799974,-0.002038314223483771,20190719132449
5,6,2.0,aws,CPU,-0.00260620006030454,-0.030661177180053407,20190719132711
6,7,4.0,aws,Memory,-0.001961498133038311,-0.007783722750152028,20190719132114
