,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.6136954796,-6.392661245833334,20190716230431
1,2,4.0,aws,Memory,0.252,-0.657580023343,-2.609444537075397,20190716230434
2,3,8.0,aws,CPU,0.34,-0.730471995597,-2.1484470458735294,20190716230437
3,4,2.0,google,General,0.095,-0.48294119785,-5.083591556315789,20190716230719
4,5,8.0,aws,General,0.384,-0.652913213121,-1.7002948258359376,20190716230728
5,6,2.0,aws,CPU,0.085,-0.691271051234,-8.132600602752941,20190716230736
6,7,8.0,aws,General,0.384,-0.649446046463,-1.6912657459973957,20190716230343
7,8,8.0,google,CPU,0.2836,-0.508041527449,-1.79140171879055,20190716230403
