,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.600223594228,-6.252329106541667,20190725183254
1,2,4.0,aws,Memory,0.252,-0.666678884713,-2.6455511298134917,20190725183257
2,3,8.0,aws,CPU,0.34,-0.732177367261,-2.153462844885294,20190725183600
3,4,2.0,aws,CPU,0.085,-0.689753363329,-8.11474545092941,20190725183632
4,5,2.0,google,General,0.095,-0.47855747837100004,-5.037447140747369,20190725183900
5,6,2.0,google,CPU,0.0709,-0.463195367134,-6.533079931368124,20190725183931
6,7,2.0,aws,CPU,0.085,-0.702098503289,-8.259982391635294,20190725184132
7,8,2.0,aws,CPU,0.085,-0.686200626806,-8.072948550658824,20190725184209
