,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.483918579527,-5.093879784494737,20190716233124
1,2,2.0,google,General,-0.479535486631,-5.047741964536842,20190716233116
2,3,8.0,aws,General,-0.648937082463,-1.6899403189140625,20190716233157
3,4,8.0,aws,CPU,-0.743907685251,-2.18796378015,20190716232836
4,5,8.0,google,General,-0.510020490352,-1.3421591851368422,20190716233342
5,6,2.0,aws,General,-0.605802313967,-6.310440770489583,20190716232830
6,7,2.0,google,CPU,-0.475719346571,-6.709722800719323,20190716233330
7,8,4.0,aws,Memory,-0.666455108951,-2.6446631307579365,20190716232833
