,Job_number,vCPUs,Provider,Category,Score,Value
0,1,8.0,aws,CPU,-0.7421594775469998,-2.1828219927852937
1,2,2.0,aws,CPU,-0.6824907888740002,-8.029303398517648
2,3,2.0,google,General,-0.482735101269,-5.081422118621052
3,4,2.0,google,General,-0.479553015391,-5.0479264778
4,5,2.0,google,General,-0.4744387602449999,-4.9940922131052625
5,6,2.0,google,CPU,-0.469926042065,-6.628011876798307
6,7,4.0,aws,Memory,-0.651749140495,-2.5863061130753966
7,8,2.0,aws,General,-0.613539993783,-6.39104160190625
8,9,2.0,google,CPU,-0.471122873863,-6.644892438124118
9,10,2.0,aws,General,-0.603232723944,-6.28367420775
