,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.625617994835,-6.516854112864584,20190725193430
1,2,4.0,aws,Memory,0.252,-0.663877287872,-2.6344336820317458,20190725193431
2,3,8.0,aws,CPU,0.34,-0.748271443309,-2.2007983626735292,20190725193802
3,4,8.0,aws,General,0.384,-0.654014918121,-1.7031638492734373,20190725193902
4,5,2.0,google,General,0.095,-0.489629388167,-5.153993559652632,20190725194123
5,6,2.0,aws,CPU,0.085,-0.689374717498,-8.110290794094116,20190725194213
6,7,2.0,google,CPU,0.0709,-0.483648801794,-6.821562789760225,20190725194351
7,8,2.0,aws,CPU,0.085,-0.677276097416,-7.967954087247058,20190725194419
8,9,2.0,aws,CPU,0.085,-0.697779554102,-8.209171224729412,20190725194627
9,10,2.0,aws,CPU,0.085,-0.698260624498,-8.214830876447058,20190725194723
