,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.47383998355400003,-4.987789300568421,20190726032043
1,2,4.0,google,Memory,0.2368,-0.522572913447,-2.2068112898944254,20190726032308
2,3,8.0,google,General,0.38,-0.522231976408,-1.3742946747578948,20190726032522
3,4,2.0,google,General,0.095,-0.487867949043,-5.135452095189474,20190726032733
4,5,2.0,google,General,0.095,-0.492872122086,-5.188127600905263,20190726032952
5,6,2.0,google,General,0.095,-0.49077574261100004,-5.166060448536842,20190726033213
