,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,google,General,0.095,-0.48997742061,-5.157657059052632,20190717132015
1,2,2.0,google,General,0.095,-0.483527427238,-5.089762391978947,20190717132027
2,3,2.0,google,General,0.095,-0.489945803091,-5.157324243063158,20190717132205
3,4,2.0,google,CPU,0.0709,-0.479317673672,-6.760474946008462,20190717132237
4,5,2.0,google,General,0.095,-0.484413128507,-5.099085563231579,20190717132250
5,6,2.0,google,General,0.095,-0.466697889386,-4.9126093619578945,20190717142441
6,7,2.0,google,General,0.095,-0.480177389396,-5.054498835747369,20190717131801
7,8,4.0,google,Memory,0.2368,-0.513168572155,-2.167097010789696,20190717131801
8,9,8.0,google,General,0.38,-0.514200785427,-1.3531599616499999,20190717131805
9,10,4.0,google,Memory,0.2368,-0.515062059293,-2.175093155798142,20190717131955
