,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,8.0,aws,CPU,-0.002003653420729201,-0.005893098296262355,20190719142540
1,2,2.0,google,General,-0.0006361248302399279,-0.0066960508446308195,20190719142933
2,3,2.0,aws,General,-0.002615762610340481,-0.027247527191046676,20190719141404
3,4,2.0,google,CPU,-0.0006298415047446897,-0.00888351910782355,20190719142312
4,5,4.0,aws,Memory,-0.0019918887979260415,-0.007904320626690641,20190719141745
5,6,8.0,google,General,-0.0005252877998979096,-0.0013823363155208146,20190719142055
