,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,google,General,-0.4864641015419999,-5.120674753073684,20190717130007
1,2,8.0,google,CPU,-0.514724713458,-1.8149672547884341,20190717125817
2,3,2.0,google,General,-0.47823110008,-5.034011579789474,20190717125817
3,4,8.0,google,General,-0.519389369395,-1.3668141299868422,20190717130019
4,5,4.0,google,Memory,-0.520078740499,-2.1962784649451015,20190717125817
5,6,2.0,google,CPU,-0.485714031888,-6.850691564005642,20190717130045
