#video, psnr_ratio, bitrate_ratio, speed_ratio,type, live score
cat_854x480_29.mkv,1.0,1.0,0.454146477404,live,1.0
cricket_1280x720_30.mkv,1.0,1.0,0.450269905868,live,1.0
game2_1280x720_30.mkv,1.0,1.0,0.433932991793,live,1.0
chicken_3840x2160_30.mkv,1.0,1.0,0.350621961916,live,0
bike_1280x720_29.mkv,1.0,1.0,0.506514659902,live,1.0
holi_854x480_30.mkv,1.0,1.0,0.420044671366,live,1.0
desktop_1280x720_30.mkv,1.0,1.0,0.464035881472,live,1.0
presentation_1920x1080_25.mkv,1.0,1.0,0.381888723813,live,1.0
hall_1920x1080_29.mkv,1.0,1.0,0.394807967201,live,0
house_1920x1080_30.mkv,1.0,1.0,0.403262465105,live,1.0
game3_1280x720_59.mkv,1.0,1.0,0.434787230198,live,0
game1_1920x1080_60.mkv,1.0,1.0,0.401480932929,live,0
girl_1280x720_30.mkv,1.0,1.0,0.425542215234,live,1.0
funny_1920x1080_30.mkv,1.0,1.0,0.398897556303,live,1.0
landscape_1920x1080_29.mkv,1.0,1.0,0.398743492957,live,0
cat_854x480_29.mkv,1.00020447929,1.00119760479,0.469957911276,platform,0.469957911276
cricket_1280x720_30.mkv,0.999816067812,0.999377722464,0.478459078595,platform,0.478459078595
game2_1280x720_30.mkv,0.999670231266,1.0,0.471832412552,platform,0.471832412552
chicken_3840x2160_30.mkv,1.00002800982,1.0,0.46616213798,platform,0.46616213798
bike_1280x720_29.mkv,1.00007617822,1.0,0.449932666414,platform,0.449932666414
holi_854x480_30.mkv,1.00002145398,1.00120192308,0.454119723056,platform,0.454119723056
desktop_1280x720_30.mkv,0.999185174157,1.0,0.418332900218,platform,0.418332900218
presentation_1920x1080_25.mkv,0.997612846053,1.00423728814,0.407061834182,platform,0.407061834182
hall_1920x1080_29.mkv,0.99995123083,1.00070389489,0.476869842263,platform,0.476869842263
house_1920x1080_30.mkv,1.00007668143,0.999466524407,0.479073180609,platform,0.479073180609
game3_1280x720_59.mkv,0.999840766804,1.0,0.461844456067,platform,0.461844456067
game1_1920x1080_60.mkv,1.00007767068,1.00060790274,0.473818337912,platform,0.473818337912
girl_1280x720_30.mkv,0.999986937423,0.999462076385,0.473029310758,platform,0.473029310758
funny_1920x1080_30.mkv,1.00030283394,0.999614346317,0.466999048564,platform,0.466999048564
landscape_1920x1080_29.mkv,0.999991597669,0.999049881235,0.46716774711,platform,0.46716774711
cat_854x480_29.mkv,1.00020447929,1.00119760479,0.478510149886,vod,0.479083215934
cricket_1280x720_30.mkv,0.999816067812,0.999377722464,0.489351786762,vod,0
game2_1280x720_30.mkv,0.999670231266,1.0,0.483279976709,vod,0
chicken_3840x2160_30.mkv,1.00002800982,1.0,0.477932441152,vod,0.477932441152
bike_1280x720_29.mkv,1.00007617822,1.0,0.460297204212,vod,0.460297204212
holi_854x480_30.mkv,1.00002145398,1.00120192308,0.464404033426,vod,0.464962211351
desktop_1280x720_30.mkv,0.999185174157,1.0,0.43216842692,vod,0
presentation_1920x1080_25.mkv,0.997612846053,1.00423728814,0.419718395647,vod,0
hall_1920x1080_29.mkv,0.99995123083,1.00070389489,0.48557707945,vod,0
house_1920x1080_30.mkv,1.00007668143,0.999466524407,0.49211328149,vod,0.491850751066
game3_1280x720_59.mkv,0.999840766804,1.0,0.473168558098,vod,0
game1_1920x1080_60.mkv,1.00007767068,1.00060790274,0.485031022254,vod,0.485325873939
girl_1280x720_30.mkv,0.999986937423,0.999462076385,0.482879936879,vod,0
funny_1920x1080_30.mkv,1.00030283394,0.999614346317,0.476320569167,vod,0.476136874385
landscape_1920x1080_29.mkv,0.999991597669,0.999049881235,0.482108245211,vod,0
cat_854x480_29.mkv,1.0,1.0,0.469939011544,upload,0.469939011544
game_2_1280x720_30.mkv,1.0,1.0,0.478937005233,upload,0.478937005233
cricket_1280x720_30.mkv,1.0,1.0,0.483594294668,upload,0.483594294668
chicken_3840x2160_30.mkv,1.0,1.0,0.477466576703,upload,0.477466576703
bike_1280x720_29.mkv,1.0,1.0,0.475176022684,upload,0.475176022684
holi_854x480_30.mkv,1.0,1.0,0.461033498892,upload,0.461033498892
girl_1280x720_30.mkv,1.0,1.0,0.489174845399,upload,0.489174845399
desktop_1280x720_30.mkv,1.0,1.0,0.428810130166,upload,0.428810130166
presentation_1920x1080_25.mkv,1.0,1.0,0.429622147088,upload,0.429622147088
hall_1920x1080_29.mkv,1.0,1.0,0.49577023423,upload,0.49577023423
game_1_1920x1080_60.mkv,1.0,1.0,0.48571646448,upload,0.48571646448
house_1920x1080_30.mkv,1.0,1.0,0.486343975538,upload,0.486343975538
game_3_1280x720_59.mkv,1.0,1.0,0.473621056469,upload,0.473621056469
funny_1920x1080_30.mkv,1.0,1.0,0.483863925814,upload,0.483863925814
landscape_1920x1080_29.mkv,1.0,1.0,0.470521872877,upload,0.470521872877
ncat_854x480_29.mkv,0.999959211769,1.0,0.491485327213,popular,0
cricket_1280x720_30.mkv,1.00024732253,0.999361837907,0.50762175428,popular,0
game2_1280x720_30.mkv,1.00026633339,1.00054914882,0.514493979433,popular,1.00081562846
chicken_3840x2160_30.mkv,0.99988899366,1.00030592266,0.530278784782,popular,0
bike_1280x720_29.mkv,0.999347040984,1.0,0.474417429517,popular,0
holi_854x480_30.mkv,0.999810534567,1.0,0.484509493768,popular,0
desktop_1280x720_30.mkv,1.00077573591,1.0,0.470838135711,popular,1.00077573591
presentation_1920x1080_25.mkv,1.0,0.985849056604,0.444296719975,popular,0
hall_1920x1080_29.mkv,0.999977529114,1.00071073205,0.509732193405,popular,0
house_1920x1080_30.mkv,1.00005994812,0.99972796518,0.504178600093,popular,0
game3_1280x720_59.mkv,0.999893044638,0.999638858794,0.498830604583,popular,0
game1_1920x1080_60.mkv,0.999807962257,1.0,0.508548416283,popular,0
girl_1280x720_30.mkv,1.00003330961,1.00054914882,0.50351270141,popular,1.00058247672
funny_1920x1080_30.mkv,0.999994771171,1.00079176564,0.493952312719,popular,0
landscape_1920x1080_29.mkv,0.999787985516,1.00096641701,0.514098667866,popular,0

