,instance,score,cpu,type,provider,price,value,type,filter
191,c5.large,0.6845639508870001,[2],['CPU'],['aws'],0.085,8.053693539847059,vod,house
192,c5.xlarge,0.731366486363,[4],['CPU'],['aws'],0.17,4.302155802135293,vod,house
193,n1-standard-2,0.48867505601999994,[2],['General'],['google'],0.095,5.1439479581052625,vod,house
194,c5.2xlarge,0.746524960089,[8],['CPU'],['aws'],0.34,2.195661647320588,vod,house
195,m5.2xlarge,0.6653773504910001,[8],['General'],['aws'],0.384,1.732753516903646,vod,house
196,m5.xlarge,0.65233625551,[4],['General'],['aws'],0.192,3.397584664114583,vod,house
197,r5.2xlarge,0.6626252765679999,[8],['Memory'],['aws'],0.504,1.3147326916031743,vod,house
198,c5.xlarge,0.7314598161670001,[4],['CPU'],['aws'],0.17,4.302704800982353,vod,house
199,c5.large,0.691678596265,[2],['CPU'],['aws'],0.085,8.13739525017647,vod,house
200,n1-standard-2,0.489694504922,[2],['General'],['google'],0.095,5.154678999178947,vod,house
201,c5.2xlarge,0.7464914836870002,[8],['CPU'],['aws'],0.34,2.1955631873147063,vod,house
202,m5.xlarge,0.650417688785,[4],['General'],['aws'],0.192,3.3875921290885413,vod,house
203,m5.2xlarge,0.662862247061,[8],['General'],['aws'],0.384,1.726203768388021,vod,house
204,c5.xlarge,0.7290786955309998,[4],['CPU'],['aws'],0.17,4.288698209005881,vod,house
205,n1-standard-2,0.486765304447,[2],['General'],['google'],0.095,5.123845309968421,vod,house
206,r5.2xlarge,0.660332914754,[8],['Memory'],['aws'],0.504,1.3101843546706349,vod,house
207,c5.2xlarge,0.752197854233,[8],['CPU'],['aws'],0.34,2.2123466300970587,vod,house
208,m5.xlarge,0.644007379639,[4],['General'],['aws'],0.192,3.3542051022864583,vod,house
209,n1-standard-2,0.48076568158499994,[2],['General'],['google'],0.095,5.060691385105263,vod,house
210,m5.2xlarge,0.655086745383,[8],['General'],['aws'],0.384,1.7059550661015626,vod,house
211,c5.xlarge,0.730512898895,[4],['CPU'],['aws'],0.17,4.297134699382353,vod,house
212,r5.2xlarge,0.6666858127959998,[8],['Memory'],['aws'],0.504,1.3227893111031743,vod,house
