,ID,Selector,Deployer,Interpreter,Concurrent_Jobs,Multiple_Providers,Jobs_completed,Best_instance,Best_CPU,Best_Provider,Best_Category,Best_JobID,Best_Result,Time,Cost
91,82,exact_match,vbench,vbench,2,True,8,c5.large,2,aws,CPU,20002,-8.098298,539,1.2158999999999998
92,83,exact_match,vbench,vbench,2,True,10,c5.large,2,aws,CPU,20006,-8.214831,773,1.5778999999999999
93,84,exact_match,vbench,vbench,2,True,7,m5.large,2,aws,General,0,-6.367533,472,1.071
94,85,exact_match,vbench,vbench,2,True,6,c5.large,2,aws,CPU,20002,-8.07664,429,1.252
95,86,exact_match,vbench,vbench,2,True,6,c5.large,2,aws,CPU,20002,-8.085446,393,1.252
96,87,exact_match,vbench,vbench,2,True,6,c5.large,2,aws,CPU,20000,-8.237947,399,0.9529999999999998
97,88,exact_match,vbench,vbench,2,True,7,c5.large,2,aws,CPU,20002,-8.006134,531,1.3780000000000001
98,89,exact_match,vbench,vbench,2,True,6,c5.large,2,aws,CPU,20001,-8.048896,392,1.2519999999999998
99,9,exact_match,vbench,vbench,3,True,8,c5.large,2,aws,CPU,20001,-8.167887,345,1.1299
100,90,exact_match,vbench,vbench,1,False,8,n1-highcpu-2,2,google,CPU,20005,-6.891028,994,1.1144999999999998
101,91,exact_match,vbench,vbench,1,False,12,n1-highcpu-2,2,google,CPU,20003,-6.877401,1598,1.2775999999999998
102,92,exact_match,vbench,vbench,1,False,8,n1-highcpu-2,2,google,CPU,20003,-6.835015,983,1.1144999999999998
103,93,exact_match,vbench,vbench,1,False,10,n1-highcpu-2,2,google,CPU,20003,-6.742183,1266,1.4448999999999999
104,94,exact_match,vbench,vbench,1,False,7,n1-highcpu-2,2,google,CPU,20003,-6.842446,831,1.0435999999999999
105,95,exact_match,vbench,vbench,1,False,9,n1-highcpu-2,2,google,CPU,20002,-6.84579,1140,1.374
106,96,exact_match,vbench,vbench,1,False,7,n1-highcpu-2,2,google,CPU,20001,-6.807273,856,0.7103999999999999
107,97,exact_match,vbench,vbench,1,False,6,n1-standard-2,2,google,General,20002,-5.209607,700,0.7117999999999999
108,98,exact_match,vbench,vbench,1,False,8,n1-highcpu-2,2,google,CPU,20003,-6.829418,995,1.0903999999999998
109,99,exact_match,vbench,vbench,1,False,6,n1-highcpu-2,2,google,CPU,20003,-6.817306,821,0.6395
