,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,4.0,google,Memory,-0.49817425246600006,-2.1037764039949325,20190717152455
1,2,2.0,google,General,-0.48649266452500006,-5.120975416052632,20190717152729
2,3,8.0,google,CPU,-0.492514025022,-1.7366502997954865,20190717153134
3,4,2.0,google,CPU,-0.451214151787,-6.36409240884344,20190717152716
4,5,2.0,google,CPU,-0.486969458988,-6.868398575289139,20190717152958
5,6,2.0,google,General,-0.486287852269,-5.118819497568421,20190717152452
6,7,2.0,google,General,-0.479779444538,-5.050309942505263,20190717152917
7,8,8.0,google,General,-0.501045215917,-1.318540041886842,20190717153208
8,9,8.0,google,CPU,-0.511359988383,-1.8031029209555711,20190717152459
9,10,2.0,google,General,-0.489729775,-5.155050263157895,20190717152653
10,11,2.0,google,CPU,-0.48772436753,-6.879046086459802,20190717152946
