,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.602697209894,-6.278095936395833,20190716205511
1,2,4.0,aws,Memory,0.252,-0.659008195456,-2.615111886730159,20190716205514
2,3,8.0,aws,CPU,0.34,-0.757898232493,-2.2291124485088236,20190716205517
3,4,8.0,google,General,0.38,-0.524206763056,-1.3794914817263157,20190716205759
4,5,2.0,google,General,0.095,-0.485751681302,-5.113175592652632,20190716205853
5,6,2.0,google,CPU,0.0709,-0.480153824152,-6.772268323723553,20190716210005
6,7,2.0,aws,CPU,0.085,-0.697902141469,-8.210613429047058,20190716210013
7,8,2.0,aws,General,0.096,-0.608711147164,-6.3407411162916665,20190716210110
8,9,2.0,google,CPU,0.0709,-0.47714704332499996,-6.729859567348377,20190716210229
9,10,2.0,google,General,0.095,-0.470016093262,-4.947537823810526,20190716205745
