,Job_number,vCPUs,Provider,Category,Score,Value,Timestamp
0,1,2.0,aws,CPU,-0.686325682333,-8.07441979215294,20190716204357
1,2,2.0,aws,General,-0.611263343676,-6.367326496625,20190716204658
2,3,4.0,aws,Memory,-0.675705246211,-2.6813700246468257,20190716204701
3,4,2.0,google,General,-0.4884349402459999,-5.141420423642105,20190716204947
4,5,2.0,google,Memory,-0.480718691203,-4.0601240811064185,20190716205020
5,6,8.0,google,CPU,-0.520971587116,-1.8369943128208743,20190716204532
6,7,2.0,aws,General,-0.609320626459,-6.347089858947917,20190716205028
7,8,8.0,aws,CPU,-0.7410210895979998,-2.1794737929352936,20190716204704
